Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),Return,Lagged_Return
2001-01-04,268.75,267.1,178.869,178.352,282.538,282.049,-0.018716077110225715,-1.457026927333105
2001-01-05,268.0,267.4,178.488,178.148,280.775,280.882,0.1123174840883312,-0.018716077110225715
2001-01-08,268.6,268.3,178.769,178.664,282.41,282.481,0.33657442034407126,0.1123174840883312
2001-01-09,267.75,267.0,179.855,179.195,284.507,283.59,-0.4845322400298224,0.33657442034407126
2001-01-10,266.7,266.3,178.777,178.665,283.573,283.298,-0.26217228464419096,-0.4845322400298224
2001-01-11,264.8,264.15,177.302,176.441,279.768,278.053,-0.8073601201652347,-0.26217228464419096
2001-01-12,263.65,263.7,176.614,177.695,276.711,277.667,-0.17035775127768327,-0.8073601201652347
2001-01-15,263.35,263.5,178.084,178.294,278.766,279.576,-0.07584376185058028,-0.17035775127768327
2001-01-16,264.5,264.45,179.871,179.984,281.084,280.882,0.3605313092979179,-0.07584376185058028
2001-01-17,263.1,263.5,178.664,179.069,280.341,282.422,-0.3592361505010411,0.3605313092979179
2001-01-18,264.1,264.9,179.112,179.715,280.212,281.031,0.5313092979126965,-0.3592361505010411
2001-01-19,265.75,264.9,180.169,179.91,281.813,281.958,0.0,0.5313092979126965
2001-01-22,266.1,266.15,181.887,182.182,285.515,284.896,0.4718761796904447,0.0
2001-01-23,267.1,266.1,181.38,180.811,283.606,282.905,-0.018786398647363534,0.4718761796904447
2001-01-24,265.7,264.25,181.18,180.684,284.933,286.047,-0.6952273581360524,-0.018786398647363534
2001-01-25,263.6,264.9,181.193,182.112,286.99,288.374,0.2459791863765215,-0.6952273581360524
2001-01-26,264.5,263.55,180.116,180.576,284.042,285.846,-0.5096262740656776,0.2459791863765215
2001-01-29,263.1,262.85,180.243,180.059,285.668,285.769,-0.26560424966799445,-0.5096262740656776
2001-01-30,263.4,264.95,180.907,181.187,287.617,286.805,0.798934753661773,-0.26560424966799445
2001-01-31,266.2,264.5,182.03,180.855,286.113,283.737,-0.1698433666729504,0.798934753661773
2001-02-01,266.85,267.65,181.198,180.967,283.431,283.979,1.190926275992421,-0.1698433666729504
2001-02-02,268.0,266.7,181.387,181.244,284.894,285.454,-0.35494115449280494,1.190926275992421
2001-02-05,266.25,265.45,180.692,180.21,283.335,282.694,-0.4686914135733078,-0.35494115449280494
2001-02-06,264.55,262.7,180.26,179.563,283.032,281.867,-1.0359766434356765,-0.4686914135733078
2001-02-07,262.9,263.15,180.155,180.203,282.536,282.047,0.17129805862199365,-1.0359766434356765
2001-02-08,263.4,262.95,181.28,181.998,283.989,286.656,-0.07600228006839904,0.17129805862199365
2001-02-09,260.5,259.9,180.277,179.911,282.446,281.125,-1.1599163339037877,-0.07600228006839904
2001-02-12,260.9,261.1,179.683,179.574,280.9,280.753,0.4617160446325652,-1.1599163339037877
